# Time-averaged data for fix 2
# TimeStep c_msd_ce[4]
0 0
100 0.429783
200 0.90533
300 1.53811
400 2.10412
500 2.53473
600 2.82768
700 3.02993
800 3.23229
900 3.48467
1000 3.77038
1100 4.10613
1200 4.39634
1300 4.63355
1400 4.87331
1500 5.03753
1600 5.17093
1700 5.27395
1800 5.40453
1900 5.54047
2000 5.69905
2100 5.83302
2200 5.96484
2300 6.0379
2400 6.13879
2500 6.18367
2600 6.27662
2700 6.43763
2800 6.60166
2900 6.61388
3000 6.63213
3100 6.69923
3200 6.75836
3300 6.7855
3400 6.86089
3500 6.94171
3600 7.06504
3700 7.18071
3800 7.31448
3900 7.3304
4000 7.34831
4100 7.39225
4200 7.45227
4300 7.44303
4400 7.45083
4500 7.48749
4600 7.49986
4700 7.54876
4800 7.63209
4900 7.63186
5000 7.61114
5100 7.59226
5200 7.59187
5300 7.61802
5400 7.60495
5500 7.62617
5600 7.60315
5700 7.53997
5800 7.58011
5900 7.62256
6000 7.66153
6100 7.68248
6200 7.77975
6300 7.84164
6400 7.89014
6500 7.95251
6600 7.98411
6700 8.00706
6800 7.97328
6900 7.93533
7000 7.9436
7100 7.90202
7200 7.83663
7300 7.80277
7400 7.78575
7500 7.87292
7600 7.93868
7700 7.93668
7800 7.90055
7900 7.86676
8000 7.87696
8100 7.83322
8200 7.83076
8300 7.84746
8400 7.87132
8500 7.87219
8600 7.87829
8700 7.95834
8800 8.02652
8900 8.06519
9000 8.10289
9100 8.15547
9200 8.18383
9300 8.21774
9400 8.25196
9500 8.26265
9600 8.25386
9700 8.23353
9800 8.20989
9900 8.19398
10000 8.23495
