# Time-averaged data for fix 3
# TimeStep c_msd_o[4]
0 0
100 26.2846
200 25.9906
300 26.3143
400 26.951
500 27.1816
600 27.513
700 27.6916
800 27.9113
900 28.0525
1000 28.2803
1100 28.51
1200 28.7043
1300 28.8078
1400 28.8289
1500 28.968
1600 29.245
1700 29.3817
1800 29.7006
1900 29.5878
2000 29.708
2100 29.6997
2200 29.8224
2300 29.8906
2400 29.9492
2500 30.043
2600 30.3071
2700 30.258
2800 30.2504
2900 30.1959
3000 30.3264
3100 30.5048
3200 30.5429
3300 30.7219
3400 30.6278
3500 30.7022
3600 30.8629
3700 30.9013
3800 31.0996
3900 30.977
4000 30.9997
4100 31.0044
4200 31.0164
4300 31.1606
4400 31.082
4500 31.1605
4600 31.3131
4700 31.3192
4800 31.3226
4900 31.1473
5000 30.9916
5100 30.939
5200 30.7955
5300 30.977
5400 30.9128
5500 30.9226
5600 30.8553
5700 30.9453
5800 30.9519
5900 31.1452
6000 31.1104
6100 31.2073
6200 31.1699
6300 31.0725
6400 30.9869
6500 30.7887
6600 30.8375
6700 31.0004
6800 30.9996
6900 30.9824
7000 31.0282
7100 30.9612
7200 30.8208
7300 30.8531
7400 30.8476
7500 30.8383
7600 30.9071
7700 30.9415
7800 31.1214
7900 31.1248
8000 31.2669
8100 31.1766
8200 31.1911
8300 31.245
8400 31.2574
8500 31.1463
8600 31.1585
8700 30.999
8800 30.9694
8900 30.7549
9000 30.7768
9100 30.7902
9200 31.1108
9300 31.1785
9400 31.3679
9500 31.4621
9600 31.5222
9700 31.636
9800 31.4818
9900 31.3768
10000 31.2937
